1, Lemon Tree, 50, 2
2, Cacao Tree, 80, 4
3, Banana Tree, 45, 10
4, Fig Tree, 60, 10
5, Apple Tree, 50, 10
6, Peach Tree, 55, 5
7, Avocado Tree, 60, 4
8, Grape Vine, 40, 20
9, Olive Tree, 80, 2
10 Cherry Tree, 80, 10
11, Pomogranate tree, 70, 3
12, Plum Tree, 65, 10
13, Pear Tree, 65, 20
14, Apricot Tree, 60,10
15, Persimmon Tree, 100, 2
16, Nectarine Tree, 70, 10
17, Key lime Tree, 80,3
18, Buddha's Hand Citron, 100, 0
19, Pistachio Tree, 80, 1
20, Walnut Tree, 85, 5
21, Macadamia nut Tree, 80, 1
22, Hazelenut Tree, 80,10
